PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Transported,RoomService_log,ShoppingMall_log,FoodCourt_log,Spa_log,VRDeck_log,LastName
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58.0,True,False,3.784189633918261,0.0,8.182279739259018,8.812248018197431,3.912023005428146,Susent
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33.0,False,False,0.0,5.918893854273146,7.157735484249907,8.110727582974489,5.267858159063328,Susent
0056_01,Europa,False,A/1/S,TRAPPIST-1e,2.0,False,True,0.0,0.0,0.0,0.0,0.0,Tractive
0056_02,Europa,True,A/1/S,TRAPPIST-1e,38.0,False,True,0.0,0.0,0.0,0.0,0.0,Tractive
0056_03,Europa,False,A/1/S,TRAPPIST-1e,27.0,False,True,5.634789603169249,8.12415060330663,6.406879986069314,5.659482215759621,1.3862943611198906,Tractive
0097_01,Europa,False,A/2/S,TRAPPIST-1e,54.0,False,False,0.0,0.0,7.097548850614793,1.3862943611198906,6.45833828334479,Fictful
0119_01,Europa,False,A/0/P,TRAPPIST-1e,39.0,False,False,0.0,0.0,7.76004068088038,4.189654742026425,8.839131752546109,Coning
0119_02,Europa,True,A/0/P,TRAPPIST-1e,13.0,False,True,0.0,0.0,0.0,0.0,0.0,Coning
0202_02,Europa,False,A/2/P,55 Cancri e,27.0,False,True,0.0,0.0,7.797291273547472,6.778784897685177,6.095824562432225,Embleng
0239_01,Mars,False,,TRAPPIST-1e,37.0,False,False,6.45833828334479,0.0,0.0,4.532599493153256,5.768320995793772,Resty
0255_01,Europa,True,A/3/S,TRAPPIST-1e,24.0,False,True,0.0,0.0,0.0,0.0,0.0,Mingious
0298_01,Europa,True,A/3/P,55 Cancri e,57.0,False,True,0.0,0.0,0.0,0.0,0.0,Sorbitter
0310_01,Europa,False,,TRAPPIST-1e,67.0,False,False,0.0,0.0,5.442417710521793,8.406708458240965,5.488937726156687,Coudered
0429_01,Europa,False,A/5/S,55 Cancri e,20.0,False,True,1.0986122886681098,0.0,9.22197245620589,1.0986122886681098,5.420534999272286,Ineysive
0429_02,Europa,True,A/5/S,55 Cancri e,46.0,False,True,0.0,0.0,0.0,0.0,0.0,Ineysive
0502_01,Mars,False,,TRAPPIST-1e,22.0,False,False,2.3978952727983707,6.706862336602747,0.0,6.156978985585555,0.0,Swell
0516_01,Europa,False,A/6/S,55 Cancri e,55.0,False,False,4.736198448394496,3.7376696182833684,7.821242083523558,0.0,7.773594467360194,Eneurordry
0709_01,Europa,False,A/7/S,55 Cancri e,25.0,False,True,0.0,0.0,8.507142855562735,6.115892125483034,2.772588722239781,Missefle
0709_02,Europa,True,A/7/S,55 Cancri e,25.0,False,True,0.0,0.0,0.0,0.0,0.0,Missefle
0709_03,Europa,True,A/7/S,55 Cancri e,23.0,False,True,0.0,0.0,0.0,0.0,0.0,Missefle
0753_01,Europa,True,A/4/P,TRAPPIST-1e,34.0,False,True,0.0,0.0,0.0,0.0,0.0,Ennalve
0753_02,Europa,False,A/4/P,55 Cancri e,65.0,False,False,2.995732273553991,1.6094379124341003,7.20414929203594,8.068089626278244,2.1972245773362196,Ennalve
0753_03,Europa,True,A/4/P,55 Cancri e,42.0,False,True,0.0,0.0,0.0,0.0,0.0,Ennalve
0777_01,Europa,False,A/5/P,TRAPPIST-1e,30.0,False,False,0.0,0.0,8.008032846969307,6.926577033222725,0.0,Plattering
0789_01,Europa,False,A/8/S,TRAPPIST-1e,31.0,True,False,0.0,1.6094379124341003,5.117993812416755,7.686162303492906,5.8377304471659395,Imprank
0789_02,Europa,False,A/8/S,TRAPPIST-1e,30.0,False,False,0.0,6.769641976852503,4.962844630259907,4.499809670330265,8.159946655578548,Frolestty
0789_03,Europa,True,A/8/S,TRAPPIST-1e,26.0,False,True,0.0,0.0,0.0,0.0,0.0,Frolestty
0799_01,Europa,False,A/6/P,55 Cancri e,27.0,False,False,0.0,1.791759469228055,8.149890544402423,7.372118028337787,1.6094379124341003,Presstic
0853_01,Europa,True,A/9/S,55 Cancri e,38.0,False,True,0.0,0.0,0.0,0.0,0.0,Ageurante
0871_01,Europa,False,A/10/S,TRAPPIST-1e,20.0,False,True,1.0986122886681098,0.0,8.46695197497949,5.5093883366279774,3.4657359027997265,Geneltic
0879_01,Earth,False,,TRAPPIST-1e,46.0,False,False,6.665683717782408,0.0,0.0,0.0,1.6094379124341003,Lanks
1004_01,Europa,True,A/11/S,55 Cancri e,56.0,False,True,0.0,0.0,0.0,0.0,0.0,Wassird
1022_01,Earth,False,,TRAPPIST-1e,15.0,True,False,3.8918202981106265,0.0,1.9459101490553132,6.86171134048073,0.0,Blanglison
1198_01,Mars,False,,TRAPPIST-1e,28.0,True,True,3.7612001156935624,0.0,7.018401799069201,0.0,0.0,Tie
1243_01,Europa,False,A/9/P,TRAPPIST-1e,41.0,False,False,0.0,0.0,8.348774539791274,7.226209010100671,7.156176637480615,Drivery
1243_02,Europa,False,A/9/P,TRAPPIST-1e,32.0,False,False,9.00810178134187,2.4849066497880004,4.248495242049359,5.918893854273146,0.0,Oderient
1258_01,Europa,False,A/10/P,55 Cancri e,30.0,False,False,0.0,5.66988092298052,8.19671240721307,7.460490305825338,8.514790306799927,Cowsearney
1294_01,Europa,True,A/14/S,TRAPPIST-1e,28.0,False,True,0.0,0.0,0.0,0.0,0.0,Gulcepusy
1294_02,Europa,True,A/14/S,PSO J318.5-22,30.0,False,True,0.0,0.0,0.0,0.0,0.0,Plegred
1294_03,Europa,False,A/14/S,TRAPPIST-1e,28.0,True,False,0.0,0.0,0.0,0.0,0.0,Gulcepusy
1529_01,Europa,False,A/16/S,PSO J318.5-22,25.0,True,True,0.0,0.0,8.863615758890619,3.828641396489095,5.645446897643238,Slable
1529_02,Europa,False,A/16/S,TRAPPIST-1e,30.0,False,True,0.0,0.0,0.0,0.0,0.0,Slable
1539_01,Europa,True,A/17/S,55 Cancri e,32.0,False,True,4.007333185232471,0.0,8.23827262463303,3.091042453358316,1.791759469228055,Barmant
1555_01,Europa,False,A/18/S,TRAPPIST-1e,45.0,False,False,0.0,0.0,7.237059026124737,8.002359546252707,0.0,Spistory
1653_01,Europa,False,A/19/S,TRAPPIST-1e,47.0,False,False,1.6094379124341003,6.7226297948554485,7.1731917424865985,6.652863029353347,1.0986122886681098,Oderient
1661_01,Europa,False,A/20/S,TRAPPIST-1e,56.0,False,False,0.0,0.0,0.0,0.0,0.0,Fringh
1661_02,Europa,False,A/20/S,TRAPPIST-1e,57.0,False,False,0.0,0.0,4.143134726391533,7.667158255319148,5.187385805840755,Earmeter
1661_03,Europa,True,A/20/S,TRAPPIST-1e,48.0,False,True,0.0,0.0,0.0,0.0,0.0,Fringh
1661_04,Europa,False,A/20/S,TRAPPIST-1e,37.0,False,False,0.0,0.0,7.779466967458324,7.175489713624222,0.0,Fringh
1724_01,Europa,False,A/21/S,55 Cancri e,59.0,False,True,2.1972245773362196,0.0,7.355001921105257,4.30406509320417,3.4657359027997265,Diateous
1854_01,Europa,False,A/22/S,55 Cancri e,53.0,False,True,0.0,0.0,9.512516890578416,0.0,6.648984550024776,Unprive
1860_01,Europa,False,A/13/P,TRAPPIST-1e,35.0,True,False,0.0,0.0,0.6931471805599453,0.0,8.057377488557991,Headfair
1860_02,Europa,False,A/13/P,55 Cancri e,35.0,False,False,4.564348191467836,0.0,8.143807976771484,5.971261839790462,5.765191102784844,Headfair
1901_01,Europa,True,A/14/P,55 Cancri e,42.0,False,True,0.0,0.0,0.0,0.0,0.0,Tractive
